SKU,ProductName,Description,CurrentStock,Warehouse,MinOrderQty,Price
WID-BL-01,Blue Widget,"A standard blue widget, 10cm x 5cm",150,North-A,50,12.50
WID-RD-01,Red Widget,"A standard red widget, 10cm x 5cm",0,North-A,50,12.75
GAD-GR-LG,Large Green Gadget,"A large-sized green gadget for industrial use",45,South-B,20,45.00
SCR-STL-S,Small Steel Screws,"Box of 1000, 1-inch steel screws",12500,North-A,10,8.99
SCR-STL-L,Large Steel Screws,"Box of 500, 3-inch steel screws",4000,North-A,5,15.99
SCR-BRS-S,Small Brass Screws,"Box of 1000, 1-inch brass construction screws",8000,North-A,10,11.99
PNL-WD-SM,Small Wood Panel,"A 1ft x 1ft oak wood panel",300,West-C,25,22.00
PNL-WD-LG,Large Wood Panel,"A 3ft x 3ft oak wood panel",150,West-C,10,55.00
DEV-YL-01,Yellow Device,"The standard yellow electronic device, model v1.2",10,South-B,25,199.50
BRK-HV-01,Heavy-Duty Bracket,"A single heavy-duty steel mounting bracket",0,South-B,100,7.25
CBL-USB-2M,USB-C Cable 2m,"A 2-meter braided USB-C to USB-C cable",500,North-A,1,5.00
